,trips,avg_trip,subscribers,customers
2019-01-01,21962,1175.926646024952,17297,4665
2019-01-02,37797,780.9311850146837,35313,2484
2019-01-03,41676,769.5241385929552,39845,1831
2019-01-04,43922,778.1487864851327,41574,2348
2019-01-05,17432,811.470800826067,16642,790
2019-01-06,31451,864.9095100314776,28284,3167
2019-01-07,36486,754.3221509620129,35458,1028
2019-01-08,41163,806.0498505939801,40068,1095
2019-01-09,44338,802.5679326988137,43061,1277
2019-01-10,38971,791.5353467963357,38061,910
2019-01-11,32805,827.1450693491846,31876,929
2019-01-12,25131,747.6062233894394,23731,1400
2019-01-13,22752,839.8415084388186,21483,1269
2019-01-14,34970,660.7903345724907,34243,727
2019-01-15,39068,724.7935906624348,38113,955
2019-01-16,40349,740.5820218592778,39517,832
2019-01-17,38956,745.9876784064072,38092,864
2019-01-18,34227,884.2734683144886,33175,1052
2019-01-19,23748,749.8190584470271,22070,1678
2019-01-20,14249,822.0213348305144,13503,746
2019-01-21,10291,711.5775920707414,9991,300
2019-01-22,28562,699.8389118409075,27911,651
2019-01-23,41483,733.6038618229154,40524,959
2019-01-24,20081,748.8448284447986,19641,440
2019-01-25,38813,712.8023857985727,37722,1091
2019-01-26,26298,897.7671305802722,24561,1737
2019-01-27,30021,837.4053495886213,27429,2592
2019-01-28,35584,694.7606789568346,34706,878
2019-01-29,30928,687.7784208484221,30270,658
2019-01-30,25142,713.2923395115743,24658,484
2019-01-31,18631,648.4940153507595,18295,336
2019-02-01,24982,853.4855896245297,24483,499
2019-02-02,22002,758.8377420234524,20893,1109
2019-02-03,31934,911.24278198785,29135,2799
2019-02-04,46376,885.3874633431085,44081,2295
2019-02-05,54161,930.8883144698215,51044,3117
2019-02-06,39215,750.3117174550555,37694,1521
2019-02-07,43177,719.9686870324479,41777,1400
2019-02-08,36454,808.4475777692435,34907,1547
2019-02-09,23765,831.9424784346728,22298,1467
2019-02-10,24131,903.7603083171025,22511,1620
2019-02-11,38636,781.0661559167615,37646,990
2019-02-12,15854,710.4016651949034,15594,260
2019-02-13,34941,767.2178243324461,34198,743
2019-02-14,41650,765.8360864345739,40269,1381
2019-02-15,46863,878.7484796107804,44171,2692
2019-02-16,31034,1028.452149255655,27078,3956
2019-02-17,24037,971.0059075591796,21096,2941
2019-02-18,25827,772.3401866263987,24306,1521
2019-02-19,34676,744.6809897335332,33484,1192
2019-02-20,20426,739.4505532164887,19967,459
2019-02-21,39499,787.1961821818273,37642,1857
2019-02-22,41794,784.9320237354644,39607,2187
2019-02-23,31608,849.2261769172361,28574,3034
2019-02-24,24272,812.3138183915623,22473,1799
2019-02-25,34216,701.7367605798457,33200,1016
2019-02-26,37516,700.2706311973558,36519,997
2019-02-27,36475,679.9150102810144,35688,787
2019-02-28,38223,689.3215864793449,37058,1165
2019-03-01,30233,830.3958257533159,29202,1031
2019-03-02,18001,847.5403033164824,16903,1098
2019-03-03,23239,874.2290546064805,21377,1862
2019-03-04,28421,808.5018120403927,27270,1151
2019-03-05,37097,685.9740410275764,35947,1150
2019-03-06,33279,708.0494305718321,32540,739
2019-03-07,35907,677.3163171526444,35003,904
2019-03-08,40406,714.7389744097411,38848,1558
2019-03-09,38928,1072.2828555281546,33881,5047
2019-03-10,18897,775.8887654124993,17804,1093
2019-03-11,52413,906.4313624482476,49209,3204
2019-03-12,47207,766.8840638040969,45294,1913
2019-03-13,50120,731.4354150039904,47889,2231
2019-03-14,57466,785.9131486444159,54125,3341
2019-03-15,57506,986.7834139046361,52577,4929
2019-03-16,42138,1011.838459347857,35718,6420
2019-03-17,36824,934.3065120573539,31386,5438
2019-03-18,46532,841.2143686065504,43703,2829
2019-03-19,52981,835.3465204507277,49953,3028
2019-03-20,55379,887.7363982737139,52159,3220
2019-03-21,21238,763.5524531500141,20633,605
2019-03-22,35463,892.5178072921072,33747,1716
2019-03-23,37375,1009.6788762541806,32895,4480
2019-03-24,50312,1112.4445062808077,40235,10077
2019-03-25,53451,846.2677031299695,50222,3229
2019-03-26,55414,780.9519615981521,52264,3150
2019-03-27,54473,825.7093238852275,51568,2905
2019-03-28,58529,823.7990910488818,54870,3659
2019-03-29,59307,955.7210953175847,54626,4681
2019-03-30,66662,1316.5987519126338,50667,15995
2019-03-31,32762,923.387461082962,28787,3975
2019-04-01,51391,885.8467825105563,48560,2831
2019-04-02,57891,778.4470643105146,55192,2699
2019-04-03,67911,980.3807336072213,62850,5061
2019-04-04,66396,914.6102174829809,61612,4784
2019-04-05,34459,808.073072346847,32941,1518
2019-04-06,66529,1352.1974176674833,50866,15663
2019-04-07,64709,1432.7495711570261,49708,15001
2019-04-08,70500,1222.1554751773049,63644,6856
2019-04-09,59327,964.3459976064861,56031,3296
2019-04-10,70977,1056.2679600433944,65708,5269
2019-04-11,62414,922.9654244240074,58261,4153
2019-04-12,57998,1015.9725162936653,52597,5401
2019-04-13,71492,1516.8854557153247,53659,17833
2019-04-14,58470,1528.2230887634685,45029,13441
2019-04-15,45654,1101.7469006001666,42239,3415
2019-04-16,63316,1067.0105660496556,57216,6100
2019-04-17,65238,1054.0477022594193,58927,6311
2019-04-18,61555,974.3323694257168,56335,5220
2019-04-19,64933,1086.8171653858592,53745,11188
2019-04-20,36784,1095.4482383645063,28984,7800
2019-04-21,51865,1233.7144895401523,36713,15152
2019-04-22,44109,918.7019429141445,36953,7156
2019-04-23,75434,1014.52087917915,63533,11901
2019-04-24,77723,1056.2029901058888,66393,11330
2019-04-25,60821,901.3235395669259,53288,7533
2019-04-26,37115,823.2319816785666,34446,2669
2019-04-27,56434,1112.7903391572456,43486,12948
2019-04-28,41200,937.6906553398059,35000,6200
2019-04-29,60789,833.6179736465479,54953,5836
2019-04-30,62660,825.6657835939993,57792,4868
2019-05-01,60897,809.1961180353712,56519,4378
2019-05-02,68701,959.424651751794,61573,7128
2019-05-03,62405,1071.116032369201,55792,6613
2019-05-04,56023,1397.20695071667,42801,13222
2019-05-05,16169,1044.214422660647,14624,1545
2019-05-06,69914,1021.3850873930829,61950,7964
2019-05-07,72824,1043.4341151268814,65391,7433
2019-05-08,76389,899.4510466166595,68581,7808
2019-05-09,66681,884.0682803197312,61351,5330
2019-05-10,68039,988.1637884154676,60289,7750
2019-05-11,69788,1296.6682667507307,49886,19902
2019-05-12,10729,1002.3210923664834,9778,951
2019-05-13,22296,838.1430301399354,21381,915
2019-05-14,42780,871.3623655913979,40623,2157
2019-05-15,74307,960.9208015395589,66738,7569
2019-05-16,77878,951.4645471121497,68626,9252
2019-05-17,72112,1066.1647992012424,63269,8843
2019-05-18,73143,1235.6286862720972,52819,20324
2019-05-19,69920,1284.355906750572,50120,19800
2019-05-20,74489,979.6376377720201,64923,9566
2019-05-21,79254,1063.5245034950917,70114,9140
2019-05-22,82007,1063.6507371321961,72529,9478
2019-05-23,56575,964.5753424657535,50594,5981
2019-05-24,74857,1202.8498470416928,62317,12540
2019-05-25,59492,1422.4737611779735,39194,20298
2019-05-26,49950,1534.436056056056,31901,18049
2019-05-27,66595,1346.2873338839252,44034,22561
2019-05-28,59432,880.8944676268677,54523,4909
2019-05-29,55089,917.055510174445,50041,5048
2019-05-30,52481,864.8718202778148,47556,4925
2019-05-31,83347,1035.752300622698,70160,13187
2019-06-01,76419,1279.2018607937816,54481,21938
2019-06-02,67298,1395.3358643644685,49247,18051
2019-06-03,77694,1116.8337838185703,67579,10115
2019-06-04,83299,942.567713898126,72888,10411
2019-06-05,78805,950.9829833132416,70478,8327
2019-06-06,81356,996.5724470229608,71320,10036
2019-06-07,82950,1273.1639903556359,69957,12993
2019-06-08,78096,1364.8212968653963,54369,23727
2019-06-09,73972,1285.2166360244416,52105,21867
2019-06-10,37024,859.3426156006915,34676,2348
2019-06-11,78052,1160.672013529442,69144,8908
2019-06-12,85042,1033.7141882834364,75047,9995
2019-06-13,49195,922.6461022461632,44757,4438
2019-06-14,80613,1039.3215734434893,69213,11400
2019-06-15,73899,1415.4691944410615,51899,22000
2019-06-16,55523,1269.820524827549,42279,13244
2019-06-17,72530,969.8928719150696,63842,8688
2019-06-18,36402,775.9782704247019,33549,2853
2019-06-19,63674,942.1938153720514,57914,5760
2019-06-20,59926,865.8269866168274,54462,5464
2019-06-21,65686,1050.9229820661938,56435,9251
2019-06-22,76612,1243.9703571242103,54000,22612
2019-06-23,75546,1238.0227675853123,53170,22376
2019-06-24,80028,1010.9090068476033,69340,10688
2019-06-25,65885,973.0774986719283,58763,7122
2019-06-26,83301,1087.1778610100719,72895,10406
2019-06-27,81577,992.6304963408804,70539,11038
2019-06-28,78682,1037.8650390178186,66173,12509
2019-06-29,62714,1206.2799693848262,46473,16241
2019-06-30,63570,1270.6342299826963,45532,18038
2019-07-01,78238,1048.735703877911,66523,11715
2019-07-02,78158,986.7133242918192,67978,10180
2019-07-03,74223,1055.4009538822197,63238,10985
2019-07-04,52712,1668.0915161633025,34616,18096
2019-07-05,58723,1386.9697903717454,42690,16033
2019-07-06,50897,1326.6292708804056,34901,15996
2019-07-07,61485,1313.575067089534,43697,17788
2019-07-08,68030,976.8677936204616,59007,9023
2019-07-09,83708,999.0403665121613,73316,10392
2019-07-10,84219,927.9380187368646,73761,10458
2019-07-11,54495,1015.5488576933664,48752,5743
2019-07-12,81075,1045.321751464693,68802,12273
2019-07-13,76860,1340.370947176685,54591,22269
2019-07-14,67911,1195.582541856253,49019,18892
2019-07-15,81053,960.2569800007402,69962,11091
2019-07-16,84569,950.4883231444146,73881,10688
2019-07-17,69169,901.5292110627594,61728,7441
2019-07-18,61067,826.9776147510112,54809,6258
2019-07-19,75054,976.2669144882351,63548,11506
2019-07-20,50576,1120.8811096172096,37948,12628
2019-07-21,48198,1080.498236441346,36942,11256
2019-07-22,52376,879.0041622117,46421,5955
2019-07-23,66278,856.0919762213706,59338,6940
2019-07-24,87644,933.4642417050796,76247,11397
2019-07-25,86449,943.5159573852792,74714,11735
2019-07-26,82881,945.7243155849953,69443,13438
2019-07-27,72256,1176.1854794065546,50814,21442
2019-07-28,67672,1076.6219263506325,48575,19097
2019-07-29,78766,901.10679734911,68288,10478
2019-07-30,80742,864.5587674320676,70789,9953
2019-07-31,65580,826.4597438243367,58717,6863
2019-08-01,87706,999.0336008938955,76861,10845
2019-08-02,82260,1084.9906029662047,69550,12710
2019-08-03,77285,1380.3530439283172,53102,24183
2019-08-04,66868,1246.5438027157984,47242,19626
2019-08-05,82393,998.4909883121139,69584,12809
2019-08-06,82515,1016.2091377325335,71510,11005
2019-08-07,52193,837.5953671948346,46315,5878
2019-08-08,79609,1013.5196397392255,68712,10897
2019-08-09,80280,1101.8932735426008,67246,13034
2019-08-10,82793,1356.2900728322443,54799,27994
2019-08-11,73365,1235.1647924759764,50578,22787
2019-08-12,81371,1027.7119735532315,68703,12668
2019-08-13,75004,961.8498880059731,65855,9149
2019-08-14,75603,862.537584487388,66193,9410
2019-08-15,84883,910.9013583403037,72714,12169
2019-08-16,81541,972.109012643946,67564,13977
2019-08-17,78121,1379.8728382893205,52108,26013
2019-08-18,56347,1282.1234138463449,40741,15606
2019-08-19,73963,931.8876870867866,63710,10253
2019-08-20,82301,927.439192719408,71109,11192
2019-08-21,73026,899.8334839646153,63826,9200
2019-08-22,73740,931.5042717656631,64245,9495
2019-08-23,63765,987.930792754646,53656,10109
2019-08-24,74220,1196.777122069523,51437,22783
2019-08-25,71900,1225.8124061196106,49842,22058
2019-08-26,79027,977.7943361129741,67354,11673
2019-08-27,82744,862.4460504689162,71905,10839
2019-08-28,65082,809.928782151747,58341,6741
2019-08-29,83267,940.5274718676067,71147,12120
2019-08-30,76815,1033.3955867994532,62386,14429
2019-08-31,64237,1195.2988464592058,42024,22213
2019-09-01,62667,1374.6595018111607,38925,23742
2019-09-02,37792,1130.1724703640982,29183,8609
2019-09-03,83716,1006.4506187586602,72760,10956
2019-09-04,84833,899.3223273961784,75526,9307
2019-09-05,89656,1003.3714531096635,78876,10780
